TreeID,Species,Site_X,Site_Y,Tree_x,Tree_y,Coordinate System/Datum
L10#1,B. Fir,711865.28,5090278.44,711865.09,5090279.22,
L10#2,B. Fir,711865.28,5090278.44,711865.19,5090277.35,
L10#3,B. Aspen,711865.28,5090278.44,711864.35,5090276.79,
L11#1,B. Aspen,711840.21,5090277.59,711842.48,5090278.64,
L11#2,R. Maple,711840.21,5090277.59,711839.07,5090280.14,
L11#3,B. Fir,711840.21,5090277.59,711842.03,5090275.73,
L12#1,W. Birch,711790.09,5090275.87,711789.98,5090274.87,
L12#2,W. Birch,711790.09,5090275.87,711789.24,5090275.02,
L12#3,Aspen,711790.09,5090275.87,711789.99,5090271.47,
M1#1,S. Maple,711141.53,5092511.80,711140.89,5092510.34,
M1#2,S. Maple,711141.53,5092511.80,711142.29,5092516.95,
M1#3,S. Maple,711141.53,5092511.80,711146.08,5092512.99,
M2#1,S. Maple,711116.48,5092510.94,711121.63,5092506.21,
M2#2,R. Pine,711116.48,5092510.94,711119.58,5092504.33,
M2#3,R. Pine,711116.48,5092510.94,711109.32,5092511.71,
M3#1,R. Maple,711066.37,5092509.23,711067.01,5092512.37,
M3#2,R. Pine,711066.37,5092509.23,711064.02,5092508.77,
M3#3,R. Pine,711066.37,5092509.23,711067.91,5092508.77,
M4#1,S. Maple,710966.16,5092505.81,710965.42,5092504.62,
M4#2,S. Maple,710966.16,5092505.81,710970.00,5092504.69,
M4#3,S. Maple,710966.16,5092505.81,710963.59,5092499.62,
M5#1,S. Maple,710941.11,5092504.95,710944.81,5092500.35,
M5#2,R. Pine,710941.11,5092504.95,710938.63,5092508.34,
M5#3,R. Pine,710941.11,5092504.95,710945.57,5092504.35,
M6#1,R. Pine,710891.01,5092503.24,710891.36,5092502.88,
M6#2,S. Maple,710891.01,5092503.24,710890.43,5092503.39,
M6#3,B. Fir,710891.01,5092503.24,710890.33,5092504.23,
M7#1,S. Maple,710790.80,5092499.81,710787.78,5092498.25,
M7#2,S. Maple,710790.80,5092499.81,710787.75,5092498.10,
M7#3,S. Maple,710790.80,5092499.81,710785.59,5092500.79,
M8#1,S. Maple,710765.74,5092498.96,710762.77,5092497.77,
M8#2,S. Maple,710765.74,5092498.96,710760.08,5092494.68,
M8#3,W. Birch,710765.74,5092498.96,710768.77,5092495.76,
M9#1,S. Maple,710715.64,5092497.25,710709.72,5092498.25,
M9#2,S. Maple,710715.64,5092497.25,710716.58,5092493.46,
M9#3,S. Maple,710715.64,5092497.25,710722.98,5092494.61,
M10#1,S. Maple,710615.43,5092493.83,710609.77,5092490.64,
M10#2,S. Maple,710615.43,5092493.83,710618.56,5092496.32,
M10#3,Y. Birch,710615.43,5092493.83,710614.86,5092486.25,
M11#1,S. Maple,710590.38,5092492.97,710594.22,5092494.40,
M11#2,Aspen,710590.38,5092492.97,710588.09,5092491.19,
M11#3,Aspen,710590.38,5092492.97,710591.58,5092493.47,
M12#1,Aspen,710540.27,5092491.26,710539.50,5092489.75,
M12#2,Aspen,710540.27,5092491.26,710541.35,5092490.54,
M12#3,Aspen,710540.27,5092491.26,710537.97,5092491.16,
N1#1,S. Maple,711142.39,5092486.82,711141.63,5092488.00,
N1#2,R. Maple,711142.39,5092486.82,711139.94,5092489.46,
N1#3,S. Maple,711142.39,5092486.82,711138.66,5092484.89,
N2#1,S. Maple,711117.33,5092485.97,711116.94,5092482.89,
N2#2,S. Maple,711117.33,5092485.97,711120.73,5092488.92,
